seed,intensity,kind,N,n_min,valid,abstention_reason,mean_L,std_L,cv_L,iqr_L,range_L,mean_V,std_V,cv_V,iqr_V,range_V,flags
4200007,9600.0,MINK,9575,89,True,,133.61797752808988,2.818500748874324,0.021093724070788335,5.0,11.0,6282.5842696629215,694.5305068325623,0.11054853815272833,1102.0,2471.0,NEAR_DELTA_MINK_L
4200008,9600.0,MINK,9682,87,True,,135.5977011494253,3.7461390702531108,0.027626862686447456,5.0,17.0,6332.172413793103,715.3881706048122,0.11297673592186347,1238.5,2431.0,NEAR_DELTA_MINK_L
4200009,9600.0,MINK,9656,88,True,,133.73863636363637,3.345601991563015,0.025015972067086865,4.0,13.0,6332.943181818182,786.5043541166326,0.12419254863594528,1200.0,2666.0,NEAR_DELTA_MINK_L
4200010,9600.0,MINK,9670,80,True,,135.1,2.401041440708594,0.017772327466384855,4.0,11.0,6336.1375,729.5975901781406,0.11514863592814087,1300.75,2468.0,NEAR_DELTA_MINK_L
4200011,9600.0,MINK,9468,75,True,,130.58666666666667,4.000311099013287,0.030633380888911224,6.0,18.0,6209.466666666666,707.6747149801399,0.11396706882718967,1167.5,2363.0,NEAR_DELTA_MINK_L
4200012,9600.0,MINK,9587,90,True,,133.2111111111111,2.5143784053781757,0.0188751402522342,3.0,12.0,6328.333333333333,695.2690126850182,0.1098660541509115,1137.0,2487.0,NEAR_DELTA_MINK_L
4200013,9600.0,MINK,9673,87,True,,135.5977011494253,3.779739607022583,0.027874658456468995,6.0,16.0,6394.494252873563,745.4144241695851,0.11657128690585815,1215.0,2454.0,NEAR_DELTA_MINK_L
4200014,9600.0,MINK,9599,74,True,,135.77027027027026,2.6229099648502494,0.019318735682185575,3.0,13.0,6346.486486486487,737.930565898754,0.11627387334236393,1252.5,2389.0,NEAR_DELTA_MINK_L
4200015,9600.0,MINK,9539,87,True,,133.10344827586206,3.0096949964178337,0.02261169815961585,5.0,11.0,6348.862068965517,713.7085945864208,0.11241519926463174,1114.5,2473.0,NEAR_DELTA_MINK_L
4200016,9600.0,MINK,9736,95,True,,134.49473684210525,3.074080724244075,0.022856513172355573,4.0,12.0,6514.505263157895,723.4061809273392,0.11104545191151927,1246.0,2430.0,NEAR_DELTA_MINK_L
4200017,9600.0,MINK,9543,89,True,,134.13483146067415,2.303836620475004,0.017175528499101637,3.0,11.0,6237.539325842697,689.5979133968891,0.11055608267507377,1129.0,2330.0,NEAR_DELTA_MINK_L
4200018,9600.0,MINK,9483,94,True,,132.22340425531914,2.2651581848813747,0.017131295307655423,3.0,11.0,6165.446808510638,706.7035494074822,0.11462324975895749,1279.25,2324.0,NEAR_DELTA_MINK_L
4200019,9600.0,MINK,9598,88,True,,133.9090909090909,2.6398879264966557,0.019714030679879983,2.0,14.0,6333.715909090909,719.4260804290086,0.11358673024731059,1299.0,2526.0,NEAR_DELTA_MINK_L
4200020,9600.0,MINK,9577,84,True,,133.17857142857142,2.699914964647318,0.0202728932716881,5.0,9.0,6310.678571428572,731.7723455633537,0.11595779079549914,1258.25,2426.0,NEAR_DELTA_MINK_L
4200021,9600.0,MINK,9721,89,True,,135.75280898876406,3.6328120747234203,0.026760492853036284,5.0,16.0,6441.202247191011,776.9949051902331,0.1206288632730137,1296.0,2451.0,NEAR_DELTA_MINK_L
4200022,9600.0,MINK,9654,84,True,,135.21428571428572,2.632540998511427,0.019469399883338602,3.25,11.0,6420.297619047619,721.3046179660108,0.11234753601235832,1173.0,2526.0,NEAR_DELTA_MINK_L
4200023,9600.0,MINK,9491,96,True,,134.11458333333334,2.7570734471637777,0.02055759618856098,4.0,13.0,6276.479166666667,761.0260340921145,0.12125046764016946,1311.75,2372.0,NEAR_DELTA_MINK_L
