seed,intensity,K,start_id,depth_k,lineage_id,survivor_rank_at_depth,path_p,path_q,p_last,q_last,r_p_last,r_q_last,d_p_over_ell,d_q_over_ell,d_mid_over_ell,straddles_horizon,regscore,is_top1,is_minbeam_at_k
1000004,3600.0,8,37,2,0,0,"[878,2422]","[2894,2567]",2422,2567,0.6740419250876333,0.7013681817144793,3.8916957543087403,4.50272942819106,4.197212591249899,0,0.0,1,0
1000004,3600.0,8,37,2,1,1,"[878,2894]","[2894,132]",2894,132,0.5178349346349977,0.46252870061599766,0.3988012621812036,0.8378837262787524,0.21954123204877377,1,0.0,0,1
1000004,3600.0,8,37,2,2,2,"[878,2894]","[2894,1055]",2894,1055,0.5178349346349977,0.503852109087976,0.3988012621812036,0.08613577777458947,0.24246851997789653,0,0.0,0,0
1000004,3600.0,8,37,2,3,3,"[878,2894]","[2894,1839]",2894,1839,0.5178349346349977,0.5170767866004711,0.3988012621812036,0.3818485567591086,0.3903249094701561,0,0.0,0,0
1000004,3600.0,8,37,2,4,4,"[878,2894]","[2894,2377]",2894,2377,0.5178349346349977,1.1563752180545666,0.3988012621812036,14.67699606316258,7.537898662671892,0,0.0,0,0
1000004,3600.0,8,37,2,5,5,"[878,2894]","[2894,2461]",2894,2461,0.5178349346349977,0.52814690654716,0.3988012621812036,0.6293839639578368,0.5140926130695201,0,0.0,0,0
1000004,3600.0,8,37,2,6,6,"[878,2894]","[2894,2555]",2894,2555,0.5178349346349977,0.4565727199447183,0.3988012621812036,0.9710635028153066,0.2861311203170521,1,0.0,0,0
1000004,3600.0,8,37,2,7,7,"[878,2894]","[2894,2567]",2894,2567,0.5178349346349977,0.7013681817144793,0.3988012621812036,4.50272942819106,2.4507653451861304,0,0.0,0,0
1000004,3600.0,8,37,3,0,0,"[878,2422,419]","[2894,2567,3111]",419,3111,0.6450372599375046,0.6251809934456358,3.243131724905672,2.799132108353973,3.0211319166298236,0,0.0,1,0
1000004,3600.0,8,37,3,8,1,"[878,2422,744]","[2894,2567,3111]",744,3111,0.607480902083392,0.6251809934456358,2.403346033414633,2.799132108353973,2.601239070884303,0,0.0,0,0
1000004,3600.0,8,37,3,9,2,"[878,2422,2567]","[2894,2567,295]",2567,295,0.7013681817144793,0.66835129557866,4.50272942819106,3.7644494101404358,4.133589419165748,0,0.0,0,0
1000004,3600.0,8,37,3,10,3,"[878,2422,2567]","[2894,2567,729]",2567,729,0.7013681817144793,0.705007469814829,4.50272942819106,4.584106384011938,4.5434179061015,0,0.0,0,0
1000004,3600.0,8,37,3,11,4,"[878,2422,2567]","[2894,2567,2282]",2567,2282,0.7013681817144793,0.3065174553727871,4.50272942819106,4.326401222460848,0.08816410286510575,1,0.0,0,1
1000004,3600.0,8,37,3,12,5,"[878,2422,2567]","[2894,2567,3111]",2567,3111,0.7013681817144793,0.6251809934456358,4.50272942819106,2.799132108353973,3.650930768272518,0,0.0,0,0
1000004,3600.0,8,37,3,1,6,"[878,2894,132]","[2894,132,88]",132,88,0.46252870061599766,0.13926928828872953,0.8378837262787524,8.066183929582802,4.452033827930778,0,0.0,0,0
1000004,3600.0,8,37,3,13,7,"[878,2894,132]","[2894,132,486]",132,486,0.46252870061599766,0.41441810381498273,0.8378837262787524,1.9136693751302853,1.3757765507045188,0,0.0,0,0
1000004,3600.0,8,37,4,10,0,"[878,2422,2567,729]","[2894,2567,729,870]",729,870,0.705007469814829,0.7189045885153524,4.584106384011938,4.894855405069478,4.7394808945407085,0,-2.0,1,1
